symbol,da,bucket
EULUSDT,2026-04-14 16:45:00,A
IOUSDT,2026-04-09 16:00:00,Baseline
TAKEUSDT,2026-02-11 07:15:00,A
1000BONKUSDT,2026-01-09 23:15:00,Baseline
MYXUSDT,2026-04-09 23:30:00,Baseline
INJUSDT,2026-02-23 20:30:00,A
ZKJUSDT,2026-03-10 03:15:00,Baseline
DRIFTUSDT,2026-04-19 16:45:00,A
