nohup: ignoring input
Waiting for backfill to complete...
Log: backfill_final_20260425_120021.log
[2026-04-25 14:59:18] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:01:18] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:03:18] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:05:18] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:07:18] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:09:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:11:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:13:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:15:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:17:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:19:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:21:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:23:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:25:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:27:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:29:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:31:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:33:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:35:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:37:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:39:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:41:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:43:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:45:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:47:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:49:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:51:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:53:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:55:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:57:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 15:59:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:01:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:03:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:05:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:07:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:09:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:11:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:13:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:15:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:17:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:19:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:21:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:23:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:25:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:27:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:29:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:31:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:33:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:35:19] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:37:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:39:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:41:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:43:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:45:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:47:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:49:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:51:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:53:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:55:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:57:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 16:59:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:01:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:03:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:05:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:07:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:09:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:11:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:13:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:15:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:17:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:19:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:21:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:23:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:25:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:27:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:29:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:31:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:33:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:35:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:37:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:39:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:41:20] 幣種: 21 / 528 | 總行數: 10082
[2026-04-25 17:43:20] 幣種: 21 / 528 | 總行數: 10082
